date,crop_name,district,market_name,min_price,max_price,avg_price,unit,quantity_available,weather_condition,season
2022-02-02,Brinjal,Bogura,Bogura Main Bazar,22.47,28.45,26.02,kg,504,Sunny,Winter
2022-02-03,Brinjal,Bogura,Bogura Main Bazar,23.01,29.15,26.75,kg,495,Sunny,Winter
2022-02-04,Brinjal,Bogura,Bogura Main Bazar,23.79,30.82,26.96,kg,553,Sunny,Winter
2022-02-05,Brinjal,Bogura,Bogura Main Bazar,23.87,30.74,26.37,kg,498,Sunny,Winter
2022-02-06,Brinjal,Bogura,Bogura Main Bazar,22.8,30.41,26.21,kg,497,Cloudy,Winter
2022-02-07,Brinjal,Bogura,Bogura Main Bazar,23.97,31.12,27.99,kg,488,Cloudy,Winter
2022-02-08,Brinjal,Bogura,Bogura Main Bazar,25.0,33.54,29.19,kg,472,Sunny,Winter
2022-02-09,Brinjal,Bogura,Bogura Main Bazar,24.64,32.17,27.77,kg,465,Foggy,Winter
2022-02-10,Brinjal,Bogura,Bogura Main Bazar,23.71,31.12,27.39,kg,462,Sunny,Winter
2022-02-11,Brinjal,Bogura,Bogura Main Bazar,24.83,32.62,29.73,kg,483,Cloudy,Winter
2022-02-12,Brinjal,Bogura,Bogura Main Bazar,25.63,32.77,29.32,kg,482,Cloudy,Winter
2022-02-13,Brinjal,Bogura,Bogura Main Bazar,22.78,31.22,27.4,kg,535,Cloudy,Winter
2022-02-14,Brinjal,Bogura,Bogura Main Bazar,24.24,31.8,29.12,kg,489,Sunny,Winter
2022-02-15,Brinjal,Bogura,Bogura Main Bazar,26.99,33.92,29.52,kg,444,Sunny,Winter
2022-02-16,Brinjal,Bogura,Bogura Main Bazar,24.8,31.05,27.96,kg,475,Sunny,Winter
2022-02-17,Brinjal,Bogura,Bogura Main Bazar,26.32,31.44,28.63,kg,456,Cloudy,Winter
2022-02-18,Brinjal,Bogura,Bogura Main Bazar,26.53,33.1,29.21,kg,485,Foggy,Winter
2022-02-19,Brinjal,Bogura,Bogura Main Bazar,24.56,34.72,29.52,kg,443,Sunny,Winter
2022-02-20,Brinjal,Bogura,Bogura Main Bazar,25.24,33.9,29.09,kg,448,Sunny,Winter
2022-02-21,Brinjal,Bogura,Bogura Main Bazar,28.13,35.11,32.03,kg,371,Foggy,Winter
2022-02-22,Brinjal,Bogura,Bogura Main Bazar,25.9,35.82,30.72,kg,406,Foggy,Winter
2022-02-23,Brinjal,Bogura,Bogura Main Bazar,24.87,33.82,29.33,kg,431,Sunny,Winter
2022-02-24,Brinjal,Bogura,Bogura Main Bazar,27.67,34.93,30.95,kg,459,Sunny,Winter
2022-02-25,Brinjal,Bogura,Bogura Main Bazar,27.51,34.72,30.25,kg,470,Sunny,Winter
2022-02-26,Brinjal,Bogura,Bogura Main Bazar,27.83,35.46,31.87,kg,417,Cloudy,Winter
2022-02-27,Brinjal,Bogura,Bogura Main Bazar,27.66,34.43,31.33,kg,396,Sunny,Winter
2022-02-28,Brinjal,Bogura,Bogura Main Bazar,26.9,34.67,30.21,kg,438,Sunny,Winter
2022-03-01,Brinjal,Bogura,Bogura Main Bazar,26.47,34.36,30.5,kg,409,Sunny,Summer
2022-03-02,Brinjal,Bogura,Bogura Main Bazar,28.61,35.88,32.43,kg,395,Sunny,Summer
2022-03-03,Brinjal,Bogura,Bogura Main Bazar,26.64,36.75,32.2,kg,382,Cloudy,Summer
2022-03-04,Brinjal,Bogura,Bogura Main Bazar,26.38,34.28,30.08,kg,453,Cloudy,Summer
2022-03-05,Brinjal,Bogura,Bogura Main Bazar,28.0,36.25,33.35,kg,351,Cloudy,Summer
2022-03-06,Brinjal,Bogura,Bogura Main Bazar,30.32,38.03,33.52,kg,394,Sunny,Summer
2022-03-07,Brinjal,Bogura,Bogura Main Bazar,28.95,35.37,32.1,kg,360,Cloudy,Summer
2022-03-08,Brinjal,Bogura,Bogura Main Bazar,28.05,35.32,32.53,kg,344,Cloudy,Summer
2022-03-09,Brinjal,Bogura,Bogura Main Bazar,26.38,33.48,30.11,kg,392,Sunny,Summer
2022-03-10,Brinjal,Bogura,Bogura Main Bazar,28.6,34.64,31.48,kg,409,Sunny,Summer
2022-03-11,Brinjal,Bogura,Bogura Main Bazar,28.94,36.79,32.21,kg,387,Cloudy,Summer
2022-03-12,Brinjal,Bogura,Bogura Main Bazar,28.32,37.79,33.26,kg,342,Sunny,Summer
2022-03-13,Brinjal,Bogura,Bogura Main Bazar,30.18,36.67,33.36,kg,348,Sunny,Summer
2022-03-14,Brinjal,Bogura,Bogura Main Bazar,29.39,39.07,33.84,kg,308,Sunny,Summer
2022-03-15,Brinjal,Bogura,Bogura Main Bazar,27.48,36.23,32.59,kg,319,Cloudy,Summer
2022-03-16,Brinjal,Bogura,Bogura Main Bazar,30.05,37.17,33.58,kg,356,Sunny,Summer
2022-03-17,Brinjal,Bogura,Bogura Main Bazar,31.69,39.72,34.8,kg,319,Sunny,Summer
2022-03-18,Brinjal,Bogura,Bogura Main Bazar,28.17,36.7,33.77,kg,346,Sunny,Summer
2022-03-19,Brinjal,Bogura,Bogura Main Bazar,30.22,37.85,33.88,kg,318,Rainy,Summer
2022-03-20,Brinjal,Bogura,Bogura Main Bazar,28.66,36.81,33.62,kg,314,Sunny,Summer
2022-03-21,Brinjal,Bogura,Bogura Main Bazar,29.73,40.17,34.22,kg,316,Rainy,Summer
2022-03-22,Brinjal,Bogura,Bogura Main Bazar,27.76,38.26,33.11,kg,331,Cloudy,Summer
2022-03-23,Brinjal,Bogura,Bogura Main Bazar,27.31,36.24,32.65,kg,287,Sunny,Summer
2022-03-24,Brinjal,Bogura,Bogura Main Bazar,28.03,38.08,33.87,kg,342,Sunny,Summer
2022-03-25,Brinjal,Bogura,Bogura Main Bazar,28.57,40.83,34.7,kg,346,Sunny,Summer
2022-03-26,Brinjal,Bogura,Bogura Main Bazar,30.37,38.64,33.79,kg,299,Cloudy,Summer
2022-03-27,Brinjal,Bogura,Bogura Main Bazar,30.89,42.46,36.33,kg,299,Sunny,Summer
2022-03-28,Brinjal,Bogura,Bogura Main Bazar,31.83,37.7,34.78,kg,277,Sunny,Summer
2022-03-29,Brinjal,Bogura,Bogura Main Bazar,31.31,40.02,35.08,kg,286,Cloudy,Summer
2022-03-30,Brinjal,Bogura,Bogura Main Bazar,31.64,40.53,35.78,kg,258,Sunny,Summer
2022-03-31,Brinjal,Bogura,Bogura Main Bazar,30.94,38.84,34.34,kg,313,Sunny,Summer
2022-04-01,Brinjal,Bogura,Bogura Main Bazar,29.77,40.66,35.47,kg,451,Sunny,Summer
2022-04-02,Brinjal,Bogura,Bogura Main Bazar,32.56,41.61,35.9,kg,387,Sunny,Summer
2022-04-03,Brinjal,Bogura,Bogura Main Bazar,31.91,41.05,35.13,kg,383,Cloudy,Summer
2022-04-04,Brinjal,Bogura,Bogura Main Bazar,30.07,40.49,35.34,kg,357,Sunny,Summer
2022-04-05,Brinjal,Bogura,Bogura Main Bazar,32.35,41.5,37.02,kg,353,Sunny,Summer
2022-04-06,Brinjal,Bogura,Bogura Main Bazar,30.18,42.54,36.76,kg,369,Rainy,Summer
2022-04-07,Brinjal,Bogura,Bogura Main Bazar,30.24,40.69,35.87,kg,362,Sunny,Summer
2022-04-08,Brinjal,Bogura,Bogura Main Bazar,29.98,37.72,34.55,kg,419,Cloudy,Summer
2022-04-09,Brinjal,Bogura,Bogura Main Bazar,32.03,40.82,36.75,kg,338,Cloudy,Summer
2022-04-10,Brinjal,Bogura,Bogura Main Bazar,31.41,40.4,36.06,kg,353,Sunny,Summer
2022-04-11,Brinjal,Bogura,Bogura Main Bazar,32.25,38.29,35.23,kg,346,Rainy,Summer
2022-04-12,Brinjal,Bogura,Bogura Main Bazar,29.69,39.25,35.66,kg,376,Rainy,Summer
2022-04-13,Brinjal,Bogura,Bogura Main Bazar,32.16,39.8,35.69,kg,370,Sunny,Summer
2022-04-14,Brinjal,Bogura,Bogura Main Bazar,31.27,40.56,36.79,kg,358,Sunny,Summer
2022-04-15,Brinjal,Bogura,Bogura Main Bazar,28.86,39.61,35.05,kg,408,Sunny,Summer
2022-04-16,Brinjal,Bogura,Bogura Main Bazar,31.66,38.49,35.33,kg,359,Sunny,Summer
2022-04-17,Brinjal,Bogura,Bogura Main Bazar,33.09,42.25,36.26,kg,353,Sunny,Summer
2022-04-18,Brinjal,Bogura,Bogura Main Bazar,30.63,40.27,36.76,kg,344,Sunny,Summer
2022-04-19,Brinjal,Bogura,Bogura Main Bazar,32.92,43.97,37.33,kg,349,Cloudy,Summer
2022-04-20,Brinjal,Bogura,Bogura Main Bazar,31.73,41.07,36.83,kg,388,Sunny,Summer
2022-04-21,Brinjal,Bogura,Bogura Main Bazar,27.73,38.09,33.78,kg,382,Sunny,Summer
2022-04-22,Brinjal,Bogura,Bogura Main Bazar,29.92,42.17,35.8,kg,391,Cloudy,Summer
2022-04-23,Brinjal,Bogura,Bogura Main Bazar,31.75,42.78,36.7,kg,346,Sunny,Summer
2022-04-24,Brinjal,Bogura,Bogura Main Bazar,31.03,40.09,36.13,kg,347,Rainy,Summer
2022-04-25,Brinjal,Bogura,Bogura Main Bazar,33.07,41.16,36.34,kg,344,Sunny,Summer
2022-04-26,Brinjal,Bogura,Bogura Main Bazar,34.49,41.27,37.5,kg,329,Sunny,Summer
2022-04-27,Brinjal,Bogura,Bogura Main Bazar,33.1,42.73,37.14,kg,359,Sunny,Summer
2022-04-28,Brinjal,Bogura,Bogura Main Bazar,32.97,39.8,36.03,kg,371,Sunny,Summer
2022-04-29,Brinjal,Bogura,Bogura Main Bazar,33.09,40.51,36.72,kg,409,Cloudy,Summer
2022-04-30,Brinjal,Bogura,Bogura Main Bazar,32.86,41.57,37.18,kg,367,Cloudy,Summer
2022-05-01,Brinjal,Bogura,Bogura Main Bazar,32.88,42.46,36.02,kg,350,Sunny,Summer
2022-05-02,Brinjal,Bogura,Bogura Main Bazar,32.92,39.17,36.14,kg,324,Sunny,Summer
2022-05-03,Brinjal,Bogura,Bogura Main Bazar,32.18,41.25,36.56,kg,392,Sunny,Summer
2022-05-04,Brinjal,Bogura,Bogura Main Bazar,30.21,40.83,35.82,kg,314,Sunny,Summer
2022-05-05,Brinjal,Bogura,Bogura Main Bazar,30.77,39.8,35.64,kg,355,Sunny,Summer
2022-05-06,Brinjal,Bogura,Bogura Main Bazar,31.57,41.64,36.24,kg,367,Cloudy,Summer
2022-05-07,Brinjal,Bogura,Bogura Main Bazar,31.72,40.43,36.62,kg,360,Sunny,Summer
2022-05-08,Brinjal,Bogura,Bogura Main Bazar,30.31,38.64,34.53,kg,356,Sunny,Summer
2022-05-09,Brinjal,Bogura,Bogura Main Bazar,32.51,42.33,37.27,kg,368,Sunny,Summer
2022-05-10,Brinjal,Bogura,Bogura Main Bazar,31.42,42.15,36.63,kg,357,Sunny,Summer
2022-05-11,Brinjal,Bogura,Bogura Main Bazar,31.68,41.93,36.65,kg,384,Sunny,Summer
2022-05-12,Brinjal,Bogura,Bogura Main Bazar,32.18,39.53,35.49,kg,369,Cloudy,Summer
2022-05-13,Brinjal,Bogura,Bogura Main Bazar,30.22,40.71,35.56,kg,431,Sunny,Summer
2022-05-14,Brinjal,Bogura,Bogura Main Bazar,32.37,39.44,36.17,kg,338,Sunny,Summer
2022-05-15,Brinjal,Bogura,Bogura Main Bazar,33.31,43.43,37.99,kg,360,Sunny,Summer
2022-05-16,Brinjal,Bogura,Bogura Main Bazar,31.15,39.86,36.56,kg,354,Cloudy,Summer
2022-05-17,Brinjal,Bogura,Bogura Main Bazar,34.7,41.87,37.78,kg,349,Sunny,Summer
2022-05-18,Brinjal,Bogura,Bogura Main Bazar,32.36,40.75,37.17,kg,370,Cloudy,Summer
2022-05-19,Brinjal,Bogura,Bogura Main Bazar,30.98,40.21,35.54,kg,379,Sunny,Summer
2022-05-20,Brinjal,Bogura,Bogura Main Bazar,29.33,41.67,35.42,kg,398,Rainy,Summer
2022-05-21,Brinjal,Bogura,Bogura Main Bazar,29.41,40.59,35.79,kg,360,Sunny,Summer
2022-05-22,Brinjal,Bogura,Bogura Main Bazar,32.79,39.56,36.46,kg,342,Sunny,Summer
2022-05-23,Brinjal,Bogura,Bogura Main Bazar,31.83,39.32,36.09,kg,383,Sunny,Summer
2022-05-24,Brinjal,Bogura,Bogura Main Bazar,33.87,40.37,37.05,kg,352,Cloudy,Summer
2022-05-25,Brinjal,Bogura,Bogura Main Bazar,29.79,38.95,35.17,kg,372,Sunny,Summer
2022-05-26,Brinjal,Bogura,Bogura Main Bazar,33.18,40.1,36.35,kg,373,Rainy,Summer
2022-05-27,Brinjal,Bogura,Bogura Main Bazar,28.67,40.6,34.58,kg,427,Sunny,Summer
2022-05-28,Brinjal,Bogura,Bogura Main Bazar,28.57,40.24,34.17,kg,421,Sunny,Summer
2022-05-29,Brinjal,Bogura,Bogura Main Bazar,28.2,40.15,34.36,kg,412,Rainy,Summer
2022-05-30,Brinjal,Bogura,Bogura Main Bazar,31.88,41.84,35.64,kg,398,Sunny,Summer
2022-05-31,Brinjal,Bogura,Bogura Main Bazar,30.98,40.42,35.02,kg,383,Rainy,Summer
2022-06-01,Brinjal,Bogura,Bogura Main Bazar,31.35,37.42,34.46,kg,312,Rainy,Monsoon
2022-06-02,Brinjal,Bogura,Bogura Main Bazar,31.68,41.89,35.94,kg,292,Rainy,Monsoon
2022-06-03,Brinjal,Bogura,Bogura Main Bazar,28.1,37.62,34.24,kg,319,Rainy,Monsoon
2022-06-04,Brinjal,Bogura,Bogura Main Bazar,27.52,36.12,33.31,kg,310,Rainy,Monsoon
2022-06-05,Brinjal,Bogura,Bogura Main Bazar,31.98,41.6,36.14,kg,281,Cloudy,Monsoon
2022-06-06,Brinjal,Bogura,Bogura Main Bazar,31.88,39.93,36.91,kg,308,Rainy,Monsoon
2022-06-07,Brinjal,Bogura,Bogura Main Bazar,31.63,40.12,35.66,kg,285,Rainy,Monsoon
2022-06-08,Brinjal,Bogura,Bogura Main Bazar,28.67,36.79,34.01,kg,324,Rainy,Monsoon
2022-06-09,Brinjal,Bogura,Bogura Main Bazar,31.3,38.5,34.48,kg,337,Cloudy,Monsoon
2022-06-10,Brinjal,Bogura,Bogura Main Bazar,27.69,39.16,33.5,kg,346,Rainy,Monsoon
2022-06-11,Brinjal,Bogura,Bogura Main Bazar,28.1,38.93,33.62,kg,330,Rainy,Monsoon
2022-06-12,Brinjal,Bogura,Bogura Main Bazar,30.8,39.1,34.68,kg,355,Rainy,Monsoon
2022-06-13,Brinjal,Bogura,Bogura Main Bazar,31.46,37.88,34.8,kg,282,Rainy,Monsoon
2022-06-14,Brinjal,Bogura,Bogura Main Bazar,31.49,38.49,34.28,kg,310,Rainy,Monsoon
2022-06-15,Brinjal,Bogura,Bogura Main Bazar,29.79,41.4,35.6,kg,315,Rainy,Monsoon
2022-06-16,Brinjal,Bogura,Bogura Main Bazar,29.26,39.53,33.59,kg,342,Rainy,Monsoon
2022-06-17,Brinjal,Bogura,Bogura Main Bazar,29.47,40.51,34.48,kg,370,Rainy,Monsoon
2022-06-18,Brinjal,Bogura,Bogura Main Bazar,29.63,40.82,36.02,kg,322,Cloudy,Monsoon
2022-06-19,Brinjal,Bogura,Bogura Main Bazar,28.29,36.55,33.59,kg,367,Rainy,Monsoon
2022-06-20,Brinjal,Bogura,Bogura Main Bazar,31.4,39.29,34.18,kg,338,Rainy,Monsoon
2022-06-21,Brinjal,Bogura,Bogura Main Bazar,31.12,38.07,34.45,kg,334,Rainy,Monsoon
2022-06-22,Brinjal,Bogura,Bogura Main Bazar,29.91,38.05,33.2,kg,364,Rainy,Monsoon
2022-06-23,Brinjal,Bogura,Bogura Main Bazar,28.9,36.63,32.4,kg,404,Rainy,Monsoon
2022-06-24,Brinjal,Bogura,Bogura Main Bazar,31.32,37.81,34.98,kg,390,Cloudy,Monsoon
2022-06-25,Brinjal,Bogura,Bogura Main Bazar,29.81,37.29,34.09,kg,370,Rainy,Monsoon
2022-06-26,Brinjal,Bogura,Bogura Main Bazar,27.09,34.99,31.05,kg,354,Rainy,Monsoon
2022-06-27,Brinjal,Bogura,Bogura Main Bazar,30.44,39.5,34.47,kg,346,Cloudy,Monsoon
2022-06-28,Brinjal,Bogura,Bogura Main Bazar,30.74,39.9,34.3,kg,329,Cloudy,Monsoon
2022-06-29,Brinjal,Bogura,Bogura Main Bazar,27.57,37.2,33.32,kg,368,Rainy,Monsoon
2022-06-30,Brinjal,Bogura,Bogura Main Bazar,28.55,38.22,32.46,kg,409,Rainy,Monsoon
2022-07-01,Brinjal,Bogura,Bogura Main Bazar,28.86,38.23,33.22,kg,389,Cloudy,Monsoon
2022-07-02,Brinjal,Bogura,Bogura Main Bazar,28.84,38.32,32.79,kg,417,Rainy,Monsoon
2022-07-03,Brinjal,Bogura,Bogura Main Bazar,29.04,35.56,32.73,kg,385,Rainy,Monsoon
2022-07-04,Brinjal,Bogura,Bogura Main Bazar,29.46,36.57,32.24,kg,411,Cloudy,Monsoon
2022-07-05,Brinjal,Bogura,Bogura Main Bazar,27.76,35.92,30.61,kg,436,Rainy,Monsoon
2022-07-06,Brinjal,Bogura,Bogura Main Bazar,26.47,33.98,29.73,kg,468,Cloudy,Monsoon
2022-07-07,Brinjal,Bogura,Bogura Main Bazar,26.25,36.4,31.45,kg,422,Rainy,Monsoon
2022-07-08,Brinjal,Bogura,Bogura Main Bazar,26.42,36.1,31.37,kg,437,Rainy,Monsoon
2022-07-09,Brinjal,Bogura,Bogura Main Bazar,26.8,34.25,30.81,kg,444,Rainy,Monsoon
2022-07-10,Brinjal,Bogura,Bogura Main Bazar,27.67,35.14,30.23,kg,378,Rainy,Monsoon
2022-07-11,Brinjal,Bogura,Bogura Main Bazar,25.0,34.38,29.9,kg,421,Rainy,Monsoon
2022-07-12,Brinjal,Bogura,Bogura Main Bazar,26.01,32.78,30.24,kg,426,Rainy,Monsoon
2022-07-13,Brinjal,Bogura,Bogura Main Bazar,26.36,34.7,30.71,kg,393,Rainy,Monsoon
2022-07-14,Brinjal,Bogura,Bogura Main Bazar,27.63,37.4,31.81,kg,460,Rainy,Monsoon
2022-07-15,Brinjal,Bogura,Bogura Main Bazar,26.55,33.19,29.49,kg,523,Cloudy,Monsoon
2022-07-16,Brinjal,Bogura,Bogura Main Bazar,27.54,33.81,30.03,kg,461,Rainy,Monsoon
2022-07-17,Brinjal,Bogura,Bogura Main Bazar,28.07,34.4,31.09,kg,463,Rainy,Monsoon
2022-07-18,Brinjal,Bogura,Bogura Main Bazar,24.71,32.91,29.84,kg,467,Rainy,Monsoon
2022-07-19,Brinjal,Bogura,Bogura Main Bazar,27.09,32.87,29.83,kg,480,Cloudy,Monsoon
2022-07-20,Brinjal,Bogura,Bogura Main Bazar,24.6,32.53,29.69,kg,493,Rainy,Monsoon
2022-07-21,Brinjal,Bogura,Bogura Main Bazar,24.34,33.32,29.53,kg,443,Rainy,Monsoon
2022-07-22,Brinjal,Bogura,Bogura Main Bazar,24.97,32.64,28.41,kg,547,Cloudy,Monsoon
2022-07-23,Brinjal,Bogura,Bogura Main Bazar,23.82,30.58,28.1,kg,517,Cloudy,Monsoon
2022-07-24,Brinjal,Bogura,Bogura Main Bazar,24.68,32.05,29.01,kg,475,Cloudy,Monsoon
2022-07-25,Brinjal,Bogura,Bogura Main Bazar,23.37,29.76,27.04,kg,508,Cloudy,Monsoon
2022-07-26,Brinjal,Bogura,Bogura Main Bazar,25.75,33.69,28.59,kg,482,Rainy,Monsoon
2022-07-27,Brinjal,Bogura,Bogura Main Bazar,23.52,32.32,28.56,kg,507,Rainy,Monsoon
2022-07-28,Brinjal,Bogura,Bogura Main Bazar,26.48,31.77,28.95,kg,507,Rainy,Monsoon
2022-07-29,Brinjal,Bogura,Bogura Main Bazar,25.72,32.54,28.11,kg,557,Rainy,Monsoon
2022-07-30,Brinjal,Bogura,Bogura Main Bazar,21.76,27.71,24.84,kg,537,Rainy,Monsoon
2022-07-31,Brinjal,Bogura,Bogura Main Bazar,24.67,32.65,29.02,kg,536,Cloudy,Monsoon
2022-08-01,Brinjal,Bogura,Bogura Main Bazar,23.9,33.11,29.02,kg,499,Rainy,Monsoon
2022-08-02,Brinjal,Bogura,Bogura Main Bazar,22.86,28.61,26.19,kg,557,Rainy,Monsoon
2022-08-03,Brinjal,Bogura,Bogura Main Bazar,22.93,29.69,26.11,kg,566,Rainy,Monsoon
2022-08-04,Brinjal,Bogura,Bogura Main Bazar,23.7,31.14,27.51,kg,502,Rainy,Monsoon
2022-08-05,Brinjal,Bogura,Bogura Main Bazar,22.92,28.74,26.05,kg,604,Rainy,Monsoon
2022-08-06,Brinjal,Bogura,Bogura Main Bazar,21.7,29.7,25.63,kg,590,Cloudy,Monsoon
2022-08-07,Brinjal,Bogura,Bogura Main Bazar,22.83,30.06,25.69,kg,567,Rainy,Monsoon
2022-08-08,Brinjal,Bogura,Bogura Main Bazar,24.16,34.04,29.01,kg,550,Rainy,Monsoon
2022-08-09,Brinjal,Bogura,Bogura Main Bazar,22.76,30.26,26.72,kg,547,Rainy,Monsoon
2022-08-10,Brinjal,Bogura,Bogura Main Bazar,22.11,29.25,25.05,kg,605,Rainy,Monsoon
2022-08-11,Brinjal,Bogura,Bogura Main Bazar,23.55,29.69,26.32,kg,548,Rainy,Monsoon
2022-08-12,Brinjal,Bogura,Bogura Main Bazar,20.96,27.96,24.73,kg,633,Rainy,Monsoon
2022-08-13,Brinjal,Bogura,Bogura Main Bazar,22.13,29.3,26.26,kg,603,Rainy,Monsoon
2022-08-14,Brinjal,Bogura,Bogura Main Bazar,22.17,28.54,25.85,kg,610,Cloudy,Monsoon
2022-08-15,Brinjal,Bogura,Bogura Main Bazar,22.73,28.77,24.86,kg,574,Rainy,Monsoon
2022-08-16,Brinjal,Bogura,Bogura Main Bazar,21.53,28.82,25.27,kg,594,Rainy,Monsoon
2022-08-17,Brinjal,Bogura,Bogura Main Bazar,21.84,27.27,24.71,kg,595,Cloudy,Monsoon
2022-08-18,Brinjal,Bogura,Bogura Main Bazar,21.86,28.43,24.54,kg,637,Rainy,Monsoon
2022-08-19,Brinjal,Bogura,Bogura Main Bazar,22.71,27.67,25.3,kg,646,Rainy,Monsoon
2022-08-20,Brinjal,Bogura,Bogura Main Bazar,23.43,28.47,26.11,kg,603,Cloudy,Monsoon
2022-08-21,Brinjal,Bogura,Bogura Main Bazar,21.28,27.55,24.54,kg,631,Cloudy,Monsoon
2022-08-22,Brinjal,Bogura,Bogura Main Bazar,18.54,26.15,22.16,kg,626,Cloudy,Monsoon
2022-08-23,Brinjal,Bogura,Bogura Main Bazar,21.56,27.52,24.52,kg,633,Cloudy,Monsoon
2022-08-24,Brinjal,Bogura,Bogura Main Bazar,20.2,25.4,22.79,kg,629,Rainy,Monsoon
2022-08-25,Brinjal,Bogura,Bogura Main Bazar,17.7,24.22,20.93,kg,664,Cloudy,Monsoon
2022-08-26,Brinjal,Bogura,Bogura Main Bazar,20.96,26.76,23.26,kg,681,Rainy,Monsoon
2022-08-27,Brinjal,Bogura,Bogura Main Bazar,19.5,26.0,23.24,kg,662,Rainy,Monsoon
2022-08-28,Brinjal,Bogura,Bogura Main Bazar,19.41,26.0,22.23,kg,651,Cloudy,Monsoon
2022-08-29,Brinjal,Bogura,Bogura Main Bazar,18.46,24.41,21.8,kg,665,Rainy,Monsoon
2022-08-30,Brinjal,Bogura,Bogura Main Bazar,19.66,26.9,23.96,kg,659,Cloudy,Monsoon
2022-08-31,Brinjal,Bogura,Bogura Main Bazar,20.38,25.26,22.49,kg,700,Rainy,Monsoon
2022-09-01,Brinjal,Bogura,Bogura Main Bazar,17.57,23.36,20.77,kg,703,Cloudy,Monsoon
2022-09-02,Brinjal,Bogura,Bogura Main Bazar,19.39,25.82,22.18,kg,745,Rainy,Monsoon
2022-09-03,Brinjal,Bogura,Bogura Main Bazar,19.62,25.03,21.34,kg,650,Rainy,Monsoon
2022-09-04,Brinjal,Bogura,Bogura Main Bazar,18.61,25.76,22.56,kg,711,Cloudy,Monsoon
2022-09-05,Brinjal,Bogura,Bogura Main Bazar,19.33,24.68,22.28,kg,670,Cloudy,Monsoon
